system,avg_electronegativity,min_electronegativity,max_electronegativity,omega_mix
FeO,2.635,1.83,3.44,-242102.648764969
CrO,2.55,1.66,3.44,-554786.151529341
CuO,2.67,1.9,3.44,-58422.2006852861
MnO,2.495,1.55,3.44,-450935.895719325
AlCu,1.755,1.61,1.9,
AlNi,1.76,1.61,1.91,
CrZr,1.495,1.33,1.66,
CuTi,1.72,1.54,1.9,
CuZr,1.615,1.33,1.9,
FeNb,1.715,1.6,1.83,
FeTi,1.685,1.54,1.83,
FeZr,1.58,1.33,1.83,
NbNi,1.755,1.6,1.91,
NiO,2.675,1.91,3.44,
NiSn,1.935,1.91,1.96,
NiTi,1.725,1.54,1.91,
NiZn,1.7799999999999998,1.65,1.91,
NiZr,1.62,1.33,1.91,
SnTi,1.75,1.54,1.96,
SnZr,1.645,1.33,1.96,
ZnZr,1.49,1.33,1.65,
